question,sub_category,title
"As per the law, this section must include details of the following:

(A) The capital structure in the following order in a tabular form:
(a) Authorised, issued, subscribed and paid-up capital (number of securities, description and aggregate nominal value).
(b) Size of the present issue, giving separately the promoters’ contribution, if any, reservation for specified categories, if any, and net offer (number of securities, description, aggregate nominal value and issue amount (to be disclosed in that order) and applicable percentages in case of a book built issue.
(c) Paid-up capital:
(i) After the issue.
(ii) After conversion of convertible instruments (if applicable).
(d) Share premium account (before and after the issue).

(B) The following tables/notes shall be included after the table of the capital structure: 
(a) Details of the existing share capital of the issuer in a tabular form, indicating therein with regard to each allotment, the date of allotment, the name of allottee, nature of allotment, the number of shares allotted, the face value of the shares, the issue price and the form of consideration.
(b) Where shares have been issued for consideration other than cash or out of revaluation reserves at any point of time, details in a separate table, indicating the date of issue, date of revaluation of assets, persons to whom issued, price, reasons for the issue and whether any benefits have accrued to the issuer out of the issue.
(c) If shares have been allotted in terms of any scheme of arrangement, the details of such shares allotted, along with the page numbers where details of such scheme is given.
(d) Where the issuer has issued equity shares under one or more employee stock option schemes, particulars of equity shares issued under the employee stock option schemes may be aggregated quarter-wise, indicating the aggregate number of equity shares issued and the price range within which equity shares have been issued in each quarter.
(e) If the issuer has made any issue of specified securities at a price lower than the issue price during the preceding one year, specific details of the names of the persons to whom such specified securities have been issued, whether they are part of the promoter group, reasons for such issue and the price.
(f) Shareholding pattern of the issuer 
(i) Following details regarding major shareholders: Names of the shareholders of the issuer holding 1% or more of the paid-up capital of the issuer as on the date of filing of the draft offer document/ or end of last week from the date of draft letter of offer and the offer document, as the case may be.
Provided that details of shareholding aggregating at least 80% of capital of company shall be disclosed.
(ii) Number of equity shares held by the shareholders specified in clause (i) including number of equity shares which they would be entitled to upon exercise of warrant, option or right to convert a debenture, loan or other instrument.
(iii) Particulars specified in items (i) and (ii) as on a date two years prior to the date of filing of the draft offer document/ draft letter of offer and the offer document, as the case may be.
(iv) Particulars specified in items (i) and (ii) as on a date one year prior to the date of filing of the draft offer document/ draft letter of offer and the offer document, as the case may be.
(v) The particulars specified in items (i) and (ii) as on a date ten days prior to the date of date of filing of the draft offer document/ draft letter of offer and the offer document, as the case may be.
(vi) If the issuer has made an initial public offer of specified securities in the preceding two years, the particulars specified in items (i), (ii), (iii) and (iv) shall be disclosed to indicate separately the names of the persons who acquired equity shares by subscription to the public issue and those who acquired the equity shares by allotment on a firm basis or through private placement.
(g) Proposal or intention, negotiations and consideration of the issuer to alter the capital structure by way of split or consolidation of the denomination of the shares, or issue of specified securities on a preferential basis or issue of bonus or rights or further public offer of specified securities, within a period of six months from the date of opening of the issue.",Capital Structure,Capital Structure overall - 1
"As per the law, this section must include details of the following:

(h) Total shareholding of each of the promoters in a tabular form, with the name of the promoter, nature of issue, date of allotment/transfer, number of shares, face value, issue price/ consideration, date when the shares were made fully paid-up, percentage of the total pre and post-issue capital, if any and the number and percentage of pledged shares, if any, held by each promoter.
(i) The number of members/shareholders of the issuer. 
(j) Details of: 
(i) the aggregate shareholding of the promoter group and of the directors of the promoters, where the promoter is a body corporate. 
(ii) the aggregate number of specified securities purchased or sold by the promoter group and/or by the directors of the company which is a promoter of the issuer and/or by the directors of the issuer and their relatives in the preceding six months.
(iii) all financing arrangements whereby the promoter group, the directors of the company which is a promoter of the issuer, the directors of the issuer and their relatives have financed the purchase by any other person of securities of the issuer other than in the normal course of the business of the financing entity in the six months immediately preceding the date of filing of the draft offer document/offer document.
(iv) In case it is not possible to obtain information regarding sales and purchases of specified securities by any relatives of the promoter, details on the basis of the transfers as recorded in the books of the issuer and/or the depository, as applicable and a statement to such effect.
(k) Promoters’ contribution:
(i) Details of promoters’ contribution and lock-in period in a tabular form, separately in respect of each promoter by name, with the date of allotment of specified securities, the date when fully paid-up, the nature of allotment (rights, bonus, preferential etc.), the number, face value and issue price, the percentage of promoters’ contribution to total issued capital and the date up to which the specified securities are subject to lock-in. 
(ii) In the case of an initial public offer, details of all individual allotments from the date of incorporation of the issuer and in case of a further public offer by a listed issuer, such details for the preceding five years. 
(iii) In case of further public offers or rights issues, shares acquired by the promoters through a public issue, rights issue, preferential issue, bonus issue, conversion of depository receipts or under any employee stock option
scheme or employee stock purchase scheme to be shown separately from the shares acquired in the secondary market and its aggregate cost of shares acquired in the secondary market, if available. 
(iv) Details of compliance with applicable provisions of these regulations with respect to promoters’’ contribution and lock-in requirements. 
(v) If the issuer is exempt from the requirements of promoters’ contribution, the relevant provisions under which it is so exempt. 
(vi) A statement that the promoter undertakes to accept full conversion, if the promoters’ contribution is in terms of the same optionally convertible debt instrument as is being offered to the public. 
(l) A statement that the issuer, its directors or the lead manager(s) have not entered into any buy-back arrangements for purchase of the specified securities of the issuer. 
(m) A statement that all securities offered through the issue shall be made fully paid-up, if applicable, or may be forfeited for non-payment of calls within twelve months from the date of allotment of securities. 
(n) Details of shareholding, if any, of the lead manager(s) and their associates in the issuer.
(o) Details of options granted or equity shares issued under any scheme of employee stock option or employee stock purchase of issuer, in the preceding three years (separately for each year) and on a cumulative basis for all options or equity shares issued prior to the date of the offer document. 

(q) In case of a further public offer by a listed issuer, which has earlier (after being a listed issuer) made any preferential allotment or bonus issue or qualified institutions placement of specified securities in the ten years preceding the date of the draft offer document/offer document, a confirmation that the relevant
provisions of the regulations have been complied with.

Some of these disclosures are required only when they are applicable. Considering that, provide a detailed report on whether the disclosures have been made or not.",Capital Structure,Capital Structure overall - 2
"The info present in this section has a lot of numbers and tables. This is for the investor. Please check the arithmetic accuracy of the data mentioned in the tables, such as the totals etc. Sometimes, the numbers don't add up or there's a typo or something.",Capital Structure,Capital Structure - arithmetic accuracy
"Look for details about history of shares allotted by the company to various shareholders, including the name and number of shares allotted to each shareholder. Shareholders can be individuals as well as other corporates.

What I need is for you to calculate the number of shareholders in each year. According to the rules, it shouldn't exceed 200. Please check whether the company is complaint with the rules. Answer in detail with data / evidence that you have found in the document. Do provide a summary of the data you found, preferably in a table.",Capital Structure,DPI check
"Please look for information about pre-IPO Placement. Regulations permit a company to do a pre-IPO placement, but requires adequate disclosures in the offer document. The document should contain information comparing pre-IPO price and IPO price, variation between two, information about selling of shares by promoters to pre-IPO investor at a price lower than IPO price, if applicable, etc. The disclosure should also contain that such placement shall be in compliance with Rule 19(2)(b) of the SCRR, and should not exceed 20% of the size of the fresh issue.

If this company intends to have a pre-IPO placement, it would give some details. However, since this is a draft document, it may say that it will disclose the required details at a later date prior to filing of Red Herring Prospectus.

Please check the section and tell me what details have been provided in this regard.",Capital Structure,Pre-IPO placement
"The company is required to disclose Details of all financing arrangements whereby the promoters, promoter group entities, or the directors of the company and their relatives have financed the purchase of securities of the company during the period of six months before the date of the draft offer document. 

If there are none, the company is still required to include such a declaration in the document. Please check whether the document has such declaration or not. ",Capital Structure,Financing Agreements
"please look for any mention of Compulsorily Convertible Preference Shares (CCPS). A company may have CCPS, but they must be converted to normal equity shares prior to the filing of Red Herring Prospectus. If the company has mentioned that it has CCPS, please check whether it has undertaken to convert them also. If not, please indicate this as a non-compliance.",Capital Structure,CCPS
"Please note that the company is also required to disclose Secondary Transactions involving the Promoters, Promoter Group and the Selling Shareholders in the Capital Structure section.  If there are none, a declaration must be included. Please check and provide confirmation whether the required disclosure has been made or not. Also provide the details. ",Capital Structure,Secondary Transactions
"Check the Number of equity shares held in dematerialised form by the Promoter. Is it less than the total shareholding of the promoter? If so, that's not okay.",Capital Structure,Demat promoter shareholding
"Check if the securities / shares of the company held by the Promoters are pledged or not. Such pledgeing is allowed, but must be disclosed.",Capital Structure,Promoter shares pledging
